12/30/2020 Display Warehouse Stocks of Material                                       1
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
| FPGI|83534227  |DAWN PT&PN DET REG CLQ OL 1-0 |0304B68700|        0 |        2 |        0 |         0.00 |        19.74 |
| MMGI|10048026  |Cetyl Alcohol 95%-PrimG       |B680913047|        0 |    1,840 |        0 |         0.00 |     4,949.60 |
| MMGI|90515444  |LBF OS EVO BW TH SMOOTH FINSH |TW80087601|        0 |      585 |        0 |         0.00 |        38.22 |
| MMGI|90526316  |TRAY SW DSTR 180 SK Unsc 28ct |CA80022907|        0 |      600 |        0 |         0.00 |       580.70 |
| MMGI|90542745  |LBF HE SH HYD COCONUT MILK 60 |TW80926293|        0 |    1,000 |        0 |         0.00 |        80.92 |
| MMGI|90588568  |T SHRNK FLM GAIN BA HBH 3x21. |LC80075076|        0 |   72,360 |        0 |         0.00 |     9,091.31 |
| MMGI|90609822  |CA SWFR Wet Cloth Fresh 64ct  |CA80028419|        0 |      160 |        0 |         0.00 |        94.79 |
| MMGI|90639937  |LBF HE CN CLASSIC PURFYNG 865 |TW80085136|        0 |    1,000 |        0 |         0.00 |        49.33 |
| MMGI|90648974  |LBB HE SH CLASSICS SHINE 865M |TW80061423|        0 |    1,000 |        0 |         0.00 |        34.68 |
| MMGI|90648974  |LBB HE SH CLASSICS SHINE 865M |TW80064946|        0 |    1,000 |        0 |         0.00 |        34.68 |
---------------------------------------------------------------------------------------------------------------------------
12/30/2020 Display Warehouse Stocks of Material                                       4
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
|-------------------------------------------------------------------------------------------------------------------------|
| MMGI|90700879  |LBB HE SH COLOR ME HAPPY 400M |TW80089578|        0 |    1,000 |        0 |         0.00 |        33.03 |
| MMGI|90747230  |LBF PGP DawnP&P 5 GAL US      |LC80939476|        0 |    2,000 |        0 |         0.00 |       821.98 |
| MMGI|90775562  |CA DWNY SHT INF SA&R BLISS 90 |B680921344|        0 |   16,320 |        0 |         0.00 |     1,136.04 |
| MMGI|90775564  |CA DWNY SHT INF BW&B REF 90ct |B680921345|        0 |   16,320 |        0 |         0.00 |     1,136.03 |
| MMGI|90862555  |SSL OLAY FO BW WHTSTWBRYMNT 6 |B680926859|        0 |    4,630 |        0 |         0.00 |       217.05 |
| MMGI|90862563  |SSL OLAY BW WTSBY MT 12.3oz 3 |B680065376|        0 |        1 |        0 |         0.00 |         0.09 |
| MMGI|90862565  |SSL OLAY BW BRCHWTR 364mL 12. |TW80077236|        0 |      500 |        0 |         0.00 |        92.94 |
| MMGI|90896267  |SSL OLAY FO BW HNYDW MB 650mL |TW80931873|        0 |    1,354 |        0 |         0.00 |       146.79 |
| MMGI|90896268  |SSL OLAY FO BW YUZPSNFLWR 650 |TW80091776|        0 |    1,000 |        0 |         0.00 |       119.25 |
| MMGI|91000790  |LBB HE SH HYDR COCONUT MILK 6 |TW80012964|        0 |    1,000 |        0 |         0.00 |        33.44 |
| MMGI|91019919  |CO SWFR Wet Cloth GENERIC 6x1 |BI80036767|        0 |      449 |        0 |         0.00 |       210.77 |
| MMGI|91177761  |LBF HE CN HYD COCONUT MILK 60 |TW80072655|        0 |    1,000 |        0 |         0.00 |        80.92 |
| MMGI|91295028  |LBB PN 2IN1 SH SHEER VOLUME 3 |B680091512|        0 |   40,000 |        0 |         0.00 |       438.40 |
| MMGI|91305542  |LBF PN CN SMOOTH N SLEEK 855M |TW80927543|        0 |    1,000 |        0 |         0.00 |        30.33 |
| MMGI|91311414  |LBB PN CN REPAIR N PROTECT 11 |B680807998|        0 |      750 |        0 |         0.00 |        12.51 |
